,Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties,pop_weighted
4030,2021,US,United States,,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,33.0,,,32.7,33.4,331893745,59,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,,,10952493585.0
11558,2021,AL,Alabama,Autauga,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,38.9,,,31.8,46.3,59095,1001,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.6464395 32.5322367),90.0,2298795.5
12157,2021,AL,Alabama,Baldwin,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,37.2,,,32.1,42.7,239294,1003,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.7460666 30.6592183),91.0,8901736.8
16765,2021,AL,Alabama,Barbour,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,43.4,,,35.4,52.0,24964,1005,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.4051035 31.8702531),1488.0,1083437.5999999999
2682,2021,AL,Alabama,Bibb,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,39.6,,,32.2,47.4,22477,1007,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.1271475 33.0158929),92.0,890089.2000000001
11728,2021,AL,Alabama,Blount,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,37.7,,,30.5,45.5,59041,1009,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.56644 33.9773575),1489.0,2225845.7
11698,2021,AL,Alabama,Bullock,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,48.9,,,40.1,57.5,10320,1011,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.7172613 32.1017589),93.0,504648.0
9342,2021,AL,Alabama,Butler,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,42.0,,,34.0,50.4,18884,1013,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.6819689 31.751667),1490.0,793128.0
11745,2021,AL,Alabama,Calhoun,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,38.9,,,32.1,46.0,115972,1015,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.8279089 33.7705162),1491.0,4511310.8
13822,2021,AL,Alabama,Chambers,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,43.9,,,35.9,51.8,34541,1017,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.3940321 32.9155039),1492.0,1516349.9
16327,2021,AL,Alabama,Cherokee,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,37.8,,,30.1,46.0,24996,1019,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.6542417 34.0695153),1493.0,944848.7999999999
9306,2021,AL,Alabama,Chilton,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,42.3,,,34.7,49.8,45274,1021,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.7266071 32.8540514),94.0,1915090.2
2747,2021,AL,Alabama,Choctaw,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,44.7,,,35.9,52.7,12533,1023,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-88.2488894 31.9909539),1494.0,560225.1000000001
13659,2021,AL,Alabama,Clarke,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,43.4,,,35.5,51.3,22760,1025,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.8186244 31.6855211),1495.0,987784.0
15938,2021,AL,Alabama,Clay,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,41.6,,,33.1,50.0,14190,1027,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.8635254 33.2703999),1496.0,590304.0
11254,2021,AL,Alabama,Cleburne,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,36.1,,,28.4,44.6,15103,1029,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.5161261 33.6719637),1497.0,545218.3
11406,2021,AL,Alabama,Coffee,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,39.5,,,32.6,46.7,54174,1031,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.9896022 31.402258),95.0,2139873.0
